id,id2,state,geoid,geoid2,county,density
"0400000US41",41,"Oregon","0500000US41001",41001,"Baker County",5.3
"0400000US41",41,"Oregon","0500000US41003",41003,"Benton County",126.6
"0400000US41",41,"Oregon","0500000US41005",41005,"Clackamas County",201
"0400000US41",41,"Oregon","0500000US41007",41007,"Clatsop County",44.7
"0400000US41",41,"Oregon","0500000US41009",41009,"Columbia County",75.1
"0400000US41",41,"Oregon","0500000US41011",41011,"Coos County",39.5
"0400000US41",41,"Oregon","0500000US41013",41013,"Crook County",7
"0400000US41",41,"Oregon","0500000US41015",41015,"Curry County",13.7
"0400000US41",41,"Oregon","0500000US41017",41017,"Deschutes County",52.3
"0400000US41",41,"Oregon","0500000US41019",41019,"Douglas County",21.4
"0400000US41",41,"Oregon","0500000US41021",41021,"Gilliam County",1.6
"0400000US41",41,"Oregon","0500000US41023",41023,"Grant County",1.6
"0400000US41",41,"Oregon","0500000US41025",41025,"Harney County",0.7
"0400000US41",41,"Oregon","0500000US41027",41027,"Hood River County",42.8
"0400000US41",41,"Oregon","0500000US41029",41029,"Jackson County",73
"0400000US41",41,"Oregon","0500000US41031",41031,"Jefferson County",12.2
"0400000US41",41,"Oregon","0500000US41033",41033,"Josephine County",50.4
"0400000US41",41,"Oregon","0500000US41035",41035,"Klamath County",11.2
"0400000US41",41,"Oregon","0500000US41037",41037,"Lake County",1
"0400000US41",41,"Oregon","0500000US41039",41039,"Lane County",77.2
"0400000US41",41,"Oregon","0500000US41041",41041,"Lincoln County",47
"0400000US41",41,"Oregon","0500000US41043",41043,"Linn County",50.9
"0400000US41",41,"Oregon","0500000US41045",41045,"Malheur County",3.2
"0400000US41",41,"Oregon","0500000US41047",41047,"Marion County",266.7
"0400000US41",41,"Oregon","0500000US41049",41049,"Morrow County",5.5
"0400000US41",41,"Oregon","0500000US41051",41051,"Multnomah County",1704.9
"0400000US41",41,"Oregon","0500000US41053",41053,"Polk County",101.8
"0400000US41",41,"Oregon","0500000US41055",41055,"Sherman County",2.1
"0400000US41",41,"Oregon","0500000US41057",41057,"Tillamook County",22.9
"0400000US41",41,"Oregon","0500000US41059",41059,"Umatilla County",23.6
"0400000US41",41,"Oregon","0500000US41061",41061,"Union County",12.6
"0400000US41",41,"Oregon","0500000US41063",41063,"Wallowa County",2.2
"0400000US41",41,"Oregon","0500000US41065",41065,"Wasco County",10.6
"0400000US41",41,"Oregon","0500000US41067",41067,"Washington County",731.4
"0400000US41",41,"Oregon","0500000US41069",41069,"Wheeler County",0.8
"0400000US41",41,"Oregon","0500000US41071",41071,"Yamhill County",138.6
